,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
临汾市,60.53,61.5,62.32,63.14,65.18,,,,401.16,405.09,409.09,411.4,415.1,412.31,416.95,426.91,431.92,437.04,437.32,440.1,425.2,427.2,429.0,430.59,434.0,433.0,433.0,431.0
临沂市,164.07,167.93,962.51,966.87,971.23,978.57,988.18,994.27,1001.38,1005.25,1008.45,1011.05,1015.04,1018.63,1022.73,1027.5,1034.47,1041.54,1072.69,1081.0,1083.8,1090.4,1113.2,1124.04,1141.0,1162.0,1180.0,1190.0
临沧市,,,,,,,,,,,,216.96,218.33,219.58,220.61,222.77,224.66,239.6,243.18,235.7,236.4,236.4,237.8,235.31,237.0,239.0,241.0,241.0
丹东市,234.15,235.4,236.62,238.08,239.22,239.49,240.35,240.53,240.97,241.01,241.3,241.22,240.97,242.39,242.52,242.8,242.7,242.64,241.36,241.1,240.5,239.7,239.5,238.15,238.0,235.0,234.0,233.0
丽水市,32.25,32.53,32.82,33.16,33.48,,,,248.58,248.73,249.28,249.4,250.66,251.39,252.53,253.99,255.43,257.39,259.65,251.3,262.6,263.9,265.7,266.38,268.0,269.0,270.0,271.0
丽江市,,,,,,,,,,,111.18,111.88,112.73,113.76,115.42,118.02,119.49,120.53,120.44,121.2,119.0,120.1,121.2,120.86,122.0,123.0,123.0,123.0
乌兰察布市,,,,,,,,,,,,270.6,271.62,272.52,278.16,284.26,287.11,289.72,287.02,288.8,287.0,283.3,277.0,273.87,274.0,272.0,271.0,269.0
乌海市,29.4,31.2,32.45,33.75,35.12,38.29,39.1,40.24,39.72,40.59,41.2,41.6,42.23,43.11,43.35,47.7,48.27,48.06,53.0,54.1,54.8,55.3,55.4,44.49,44.0,44.0,44.0,44.0
乌鲁木齐市,136.64,137.93,139.65,144.15,147.89,151.94,154.88,158.92,164.38,169.03,175.72,181.53,185.96,194.15,201.84,231.3,236.05,241.19,243.03,249.4,257.8,262.9,266.9,266.83,268.0,223.0,222.0,227.0
乐山市,658.93,663.68,668.22,671.23,673.5,343.35,344.47,345.12,345.9,346.46,346.86,347.63,347.67,347.9,350.12,352.45,353.5,353.22,353.35,354.4,355.1,356.0,355.7,353.79,355.0,352.0,351.0,350.0
九江市,413.09,417.48,421.68,426.91,432.26,437.69,443.01,448.35,446.83,449.75,455.1,460.08,464.82,466.2,472.67,479.58,484.67,491.03,497.91,502.4,508.6,508.1,513.1,516.59,520.0,520.0,523.0,525.0
云浮市,,,231.88,234.28,239.76,243.65,247.3,250.85,257.75,258.84,260.09,261.28,261.96,263.36,266.82,268.62,272.68,275.8,282.76,286.1,287.0,290.3,294.2,298.93,301.0,300.0,301.0,301.0
亳州市,,,,,,,,,,,,,,,561.65,576.38,588.77,596.93,600.76,604.2,612.6,632.9,634.4,634.95,647.0,651.0,657.0,663.0
伊春市,93.73,93.34,131.65,132.0,132.32,132.15,131.67,131.33,132.49,132.18,131.88,130.03,129.57,128.79,127.74,127.6,127.63,127.31,126.95,126.3,125.2,123.2,122.0,121.19,118.0,116.0,114.0,112.0
佛山市,291.15,299.48,305.69,311.06,316.32,320.96,324.98,329.24,332.46,335.85,338.98,344.24,350.89,354.48,358.06,361.08,364.34,367.63,370.89,374.8,377.7,381.6,385.6,388.97,400.0,420.0,437.0,461.0
佳木斯市,194.47,183.25,227.92,230.78,233.9,234.88,236.5,237.85,239.34,240.68,243.62,244.73,247.31,245.03,248.19,250.53,251.64,252.26,253.78,250.5,239.3,242.1,241.4,237.55,238.0,235.0,233.0,233.0
保定市,171.15,173.02,174.76,1022.42,1027.64,1035.39,1042.34,1050.09,1055.17,1062.43,1070.13,1076.98,1088.28,1092.17,1106.08,1123.43,1141.73,1155.28,1161.01,1160.7,1172.1,1163.9,1196.6,1202.19,1207.0,1199.0,1208.0,1215.0
保山市,75.53,76.56,77.41,78.37,79.34,,,,234.46,235.93,237.55,239.25,241.13,242.49,244.3,246.42,248.22,250.23,252.7,254.2,255.6,256.9,258.8,259.1,261.0,263.0,264.0,264.0
信阳市,27.4,27.57,28.65,29.33,30.2,398.58000000000004,766.96,772.97,770.87,775.8,780.59,785.7,794.85,803.79,817.38,834.96,845.21,860.99,870.22,876.6,855.2,859.8,890.4,897.96,908.0,911.0,912.0,912.0
儋州市,,,,,,,,,,,,,,,,,,,,,,,,96.15,95.0,96.0,97.0,98.0
克拉玛依市,21.51,22.01,22.69,23.39,23.98,25.36,26.31,26.86,27.63,28.43,29.0,30.6,30.58,29.74,32.32,35.34,38.62,39.35,37.51,37.8,37.6,37.9,39.0,29.97,30.0,31.0,31.0,31.0
六安市,20.31,165.1,166.62,168.01,169.22,,,655.65,662.11,664.88,667.75,669.5,675.14,681.0,686.73,695.51,701.64,705.89,704.82,709.6,710.3,716.7,720.5,717.73,587.0,588.0,589.0,591.0
六盘水市,250.3,252.53,255.52,258.89,261.98,266.24,270.5,273.99,283.48,286.27,289.05,292.62,295.51,297.17,300.43,308.96,312.97,319.35,319.2,321.4,322.5,325.4,328.3,333.4,340.0,342.0,349.0,353.0
兰州市,258.38,261.21,265.67,270.84,276.09,280.46,283.93,287.59,290.67,296.51,300.95,304.36,308.11,311.74,313.64,319.28,322.28,323.59,323.54,323.3,321.5,368.6,374.7,321.9,324.0,326.0,328.0,332.0
内江市,889.04,889.93,892.94,896.14,900.45,902.48,416.55,418.6,419.92,420.06,420.26,421.25,420.68,420.32,422.13,423.83,425.05,425.61,425.53,426.1,426.6,426.8,426.0,420.43,420.0,415.0,412.0,408.0
包头市,176.8,178.76,181.46,182.92,196.23,198.92,201.11,203.01,204.35,206.16,208.02,209.13,210.24,209.32,212.41,214.6,217.76,219.59,219.8,221.8,223.5,225.0,223.7,223.86,224.0,224.0,224.0,225.0
北京市,1044.89,1051.18,1061.75,1076.98,1077.7,1216.7,1223.39,1249.9,1107.53,1122.3,1136.3,1148.82,1162.89,1180.7,1197.6,1213.26,1299.85,1245.83,1257.8,1277.9,1297.5,1316.3,1333.4,1345.2,1363.0,1359.0,1376.0,1397.0
北海市,127.78,130.33,132.34,134.09,135.42,136.49,137.39,139.52,143.06,144.71,145.49,146.77,147.87,149.24,152.06,156.32,157.71,160.18,166.84,167.9,168.1,169.4,169.3,171.96,174.0,175.0,178.0,180.0
十堰市,40.69,41.99,335.84,338.19,340.69,341.73,340.14,341.15,340.82,337.26,338.66,340.64,341.79,343.68,346.5,348.86,351.03,353.22,353.19,348.4,346.0,346.7,347.0,345.94,348.0,346.0,347.0,346.0
南京市,510.05,514.74,518.28,521.72,525.43,529.82,532.31,537.44,544.89,553.04,563.28,572.23,583.6,595.8,607.23,617.17,624.46,629.77,632.42,636.4,638.5,643.1,648.7,653.4,663.0,681.0,697.0,710.0
南充市,27.92,695.76,698.99,704.22,705.6,708.48,708.96,709.97,709.21,709.65,714.45,717.73,724.77,728.94,733.96,742.11,749.49,753.51,751.72,756.2,759.6,759.0,759.0,742.33,741.0,733.0,728.0,724.0
南宁市,259.42,264.61,268.66,273.19,277.91,281.2,284.63,285.87,291.41,294.56,297.71,614.67,648.85,659.54,671.89,683.51,691.69,697.9,707.37,711.5,713.5,724.4,729.7,740.23,752.0,757.0,771.0,782.0
南平市,46.07,46.49,292.04,293.99,296.31,298.12,300.4,301.71,304.08,304.59,304.47,304.47,304.41,305.07,305.27,306.33,308.13,310.1,313.9,313.4,313.9,316.0,319.2,319.86,321.0,319.0,320.0,318.0
南昌市,378.88,382.76,388.77,395.16,401.72,407.89,415.84,424.2,432.55,440.16,448.85,450.77,460.79,475.17,483.96,491.31,494.73,497.33,502.25,505.0,507.9,510.1,517.7,520.38,523.0,525.0,532.0,536.0
南通市,779.86,781.2,782.43,784.24,785.24,786.3,787.49,785.99,784.53,782.46,780.26,777.62,773.79,770.86,769.79,766.13,763.72,762.66,762.92,764.9,765.2,766.5,767.6,766.77,767.0,764.0,763.0,760.0
南阳市,38.47,39.77,1023.0,1027.77,1032.77,1037.88,795.9,803.56,1040.29,1041.4,1047.76,1054.38,1065.58,1079.14,1101.78,1126.71,1147.61,1167.51,1186.69,1200.9,1206.3,1171.0,1181.4,1188.5,1195.0,1200.0,1238.0,1239.0
厦门市,115.36,117.49,119.42,121.36,123.0,124.67,126.59,128.99,131.27,134.36,137.16,141.76,146.77,153.22,160.38,167.24,173.67,177.0,180.21,185.3,190.9,196.8,203.4,211.15,221.0,231.0,243.0,261.0
双鸭山市,133.18,145.88,146.1,146.68,148.39,148.78,147.3,148.3,150.51,150.13,150.93,150.84,151.21,150.22,149.95,150.44,150.46,150.81,151.58,151.2,150.4,149.8,149.0,147.43,145.0,143.0,141.0,141.0
台州市,,,526.31,529.56,532.98,535.98,539.51,542.98,546.62,548.52,550.0,552.61,555.92,559.85,564.66,569.39,574.06,578.47,583.14,586.8,591.0,594.0,597.1,597.49,600.0,604.0,605.0,607.0
合肥市,392.16,397.08,402.71,411.11,416.47,422.31,425.98,429.95,438.18,442.16,448.1,456.6,444.68,455.7,469.85,478.9,486.73,491.43,494.95,706.1,710.5,711.5,712.8,717.72,730.0,743.0,758.0,770.0
吉安市,29.48,30.02,31.74,31.01,31.36,,,,447.59,452.15,457.32,462.61,466.65,464.76,471.01,479.72,485.25,489.1,495.04,501.6,505.5,509.1,526.7,530.36,535.0,536.0,539.0,540.0
吉林市,416.78,419.28,421.15,425.43,425.97,427.63,427.59,430.01,431.67,431.38,431.08,431.6,429.07,429.45,430.44,432.67,438.29,437.42,434.03,433.3,430.8,429.1,427.7,426.24,422.0,415.0,414.0,412.0
吐鲁番市,,,,,,,,,,,,,,,,,,,,,,,,,63.0,64.0,63.0,63.0
吕梁市,,,,,,,,,,,,349.72,352.29,355.37,361.85,370.12,376.63,381.09,383.49,389.2,393.7,393.9,390.7,387.48,391.0,392.0,394.0,394.0
吴忠市,27.01,27.61,28.05,28.51,28.99,106.81,184.63,187.32,191.93,205.15,180.41,186.56,126.47,124.12,127.66,130.82,135.68,137.21,138.35,139.8,141.6,143.7,143.5,140.41,142.0,143.0,144.0,143.0
周口市,27.88,28.48,28.64,30.34,31.05,,,,1043.84,1054.23,1066.57,1074.68,1094.37,1112.51,1130.4,1166.72,1188.08,1206.76,1224.35,1238.5,1229.2,1130.8,1236.9,1244.35,1259.0,1258.0,1259.0,1257.0
呼伦贝尔市,,,,,,,,,,,,,270.88,270.0,269.96,270.56,272.48,271.76,271.3,270.4,266.4,253.2,265.9,259.3,259.0,260.0,256.0,255.0
呼和浩特市,140.6,141.99,144.49,177.53,197.37,200.37,204.36,207.78,209.17,211.83,213.45,213.89,214.7,213.49,215.81,220.84,224.3,227.37,229.56,232.3,230.3,234.0,237.9,238.58,241.0,243.0,246.0,249.0
咸宁市,47.92,49.2,50.63,44.4,44.72,,,276.25,277.21,277.62,277.84,278.32,276.98,276.72,281.76,286.08,288.21,290.63,290.96,295.3,297.9,300.5,296.5,300.41,304.0,304.0,305.0,305.0
咸阳市,445.34,450.87,456.79,463.62,468.73,473.05,464.17,467.12,474.51,477.32,481.66,483.91,489.75,494.26,499.69,506.84,510.45,516.38,520.09,525.7,527.9,533.2,526.7,527.59,530.0,468.0,460.0,458.0
哈密市,,,,,,,,,,,,,,,,,,,,,,,,,56.0,56.0,56.0,56.0
哈尔滨市,527.97,529.99,531.18,534.21,908.33,914.91,921.83,927.09,934.64,941.1,948.27,954.31,970.23,974.84,980.4,987.32,989.86,991.6,992.02,993.3,993.5,995.2,987.3,961.37,962.0,955.0,952.0,951.0
唐山市,667.89,671.78,675.85,679.46,684.13,688.34,690.13,694.09,699.79,700.15,702.67,706.28,710.07,714.51,719.12,724.66,729.41,733.9,735.0,737.1,741.8,738.7,753.2,754.96,760.0,755.0,758.0,756.0
商丘市,25.56,26.3,27.49,28.58,30.29,787.71,1041.95,1037.32,799.88,814.34,821.35,831.02,838.68,855.59,875.71,889.71,901.11,910.87,918.01,926.8,934.1,942.6,949.7,961.09,977.0,987.0,999.0,1005.0
商洛市,,,,,,,,,,236.46,236.77,237.5,240.62,241.98,242.74,243.23,242.48,243.05,244.83,247.9,248.8,250.6,251.7,251.01,253.0,253.0,251.0,250.0
嘉兴市,320.61,322.57,324.46,326.39,328.05,329.29,329.91,330.19,331.25,331.93,332.38,332.96,333.94,334.33,335.55,336.81,338.07,339.6,341.6,343.1,344.5,345.9,348.1,349.48,352.0,356.0,360.0,364.0
嘉峪关市,10.93,11.4,11.97,12.44,12.91,13.09,14.29,14.55,15.96,16.1,15.97,16.37,16.76,17.22,17.61,18.14,18.59,20.87,21.8,19.5,19.8,20.0,24.1,20.25,21.0,21.0,21.0,21.0
四平市,301.35,304.45,306.17,309.95,313.67,318.69,320.8,322.29,322.88,323.51,326.08,326.67,327.67,331.89,331.29,334.95,337.56,339.12,340.55,341.1,336.3,328.4,328.1,326.41,324.0,320.0,319.0,318.0
固原市,,,,,,,,,,,189.14,187.83,151.28,148.06,151.23,153.84,148.36,150.14,152.53,155.3,154.2,154.2,153.3,149.77,150.0,151.0,151.0,147.0
大同市,113.31,257.26,259.61,262.41,265.9,269.68,272.18,275.61,283.9,287.86,292.65,295.92,299.68,299.49,305.85,309.42,312.0,315.6,317.51,318.9,319.4,337.5,339.2,316.22,318.0,318.0,318.0,318.0
大庆市,96.93,233.67,236.18,239.28,242.21,243.63,245.09,245.75,250.58,252.09,254.62,257.9,262.22,264.38,269.3,273.36,277.23,280.17,279.8,281.6,281.6,282.6,276.0,275.48,276.0,273.0,273.0,272.0
大连市,522.9,527.09,531.53,534.66,537.4,540.36,543.24,545.31,551.47,554.61,557.93,560.16,561.6,565.33,572.08,578.19,583.37,584.8,586.44,588.5,590.3,591.5,594.3,593.56,596.0,595.0,595.0,599.0
天水市,300.41,304.09,308.06,312.55,319.84,325.38,328.67,332.75,336.93,340.77,343.2,345.64,347.78,350.02,352.34,354.76,357.21,359.69,366.73,369.6,375.7,378.0,364.5,367.17,371.0,371.0,372.0,372.0
天津市,882.72,887.73,894.52,896.58,898.45,899.8,905.09,910.17,912.0,913.98,919.05,926.0,932.55,939.31,948.89,959.1,968.87,979.84,984.85,996.4,993.2,1004.0,1016.7,1026.9,1044.0,1050.0,1082.0,1108.0
太原市,267.02,271.35,276.67,282.77,287.41,293.28,295.69,299.92,308.75,315.31,322.24,327.4,331.94,340.39,348.82,355.31,360.23,365.12,365.5,365.0,365.8,367.5,369.7,367.39,370.0,369.0,377.0,384.0
威海市,239.32,240.6,241.97,243.0,244.0,245.09,245.75,246.22,246.95,247.22,247.62,247.63,248.39,249.09,249.83,251.06,252.23,252.97,253.61,253.8,253.6,253.8,254.8,254.75,256.0,256.0,257.0,257.0
娄底市,32.95,34.45,36.09,36.79,37.37,,,396.09,399.03,399.88,402.16,403.89,405.1,407.48,412.04,416.12,423.79,420.53,432.99,435.8,437.8,438.6,444.9,447.7,453.0,454.0,455.0,455.0
孝感市,135.52,562.74,568.5,576.0,580.93,587.33,591.85,597.72,499.56,505.32,506.3,508.91,507.2,506.01,514.65,516.76,525.06,528.73,531.05,528.9,526.9,527.4,525.7,526.48,523.0,519.0,518.0,515.0
宁德市,37.11,37.98,38.52,39.19,39.69,,,,323.57,324.69,325.44,325.81,326.74,327.03,328.1,330.44,335.03,335.95,339.37,340.0,342.3,347.2,352.2,348.92,352.0,351.0,354.0,356.0
宁波市,516.72,519.98,522.85,526.2,530.08,533.31,535.27,538.41,540.94,543.35,546.19,549.07,552.69,556.7,560.45,564.56,568.09,571.02,574.08,576.4,577.7,580.2,583.8,586.57,591.0,597.0,603.0,608.0
安庆市,578.12,582.16,585.38,589.96,591.53,594.46,596.73,598.03,601.32,602.94,604.11,605.2,604.2,605.55,607.89,610.99,613.89,615.88,615.62,618.7,620.4,621.7,620.9,622.1,529.0,531.0,528.0,529.0
安康市,89.2,90.02,90.81,90.99,91.38,,,,292.43,293.1,293.24,294.06,294.97,294.94,297.15,300.07,301.87,303.57,304.35,305.1,306.0,308.3,306.2,304.8,304.0,305.0,304.0,304.0
安阳市,488.76,493.69,497.09,500.6,504.28,507.66,508.73,512.51,518.66,521.97,525.42,533.14,539.98,547.18,553.7,559.9,567.37,573.16,581.4,590.9,593.0,602.0,611.4,617.45,626.0,624.0,627.0,629.0
安顺市,68.4,69.15,71.68,72.83,74.04,,,,244.23,246.67,249.33,250.59,256.17,256.88,260.98,267.36,270.3,273.49,279.79,282.3,284.4,285.6,290.0,296.49,300.0,301.0,304.0,307.0
定西市,,,,,,,,,,,,296.35,296.99,291.58,293.01,296.12,297.81,299.43,300.38,302.3,296.3,300.1,301.4,300.87,303.0,303.0,304.0,304.0
宜宾市,69.55,70.32,71.05,71.84,72.63,498.14,501.51,504.08,508.5,509.87,512.42,515.01,517.88,519.19,523.16,526.98,530.81,534.93,539.02,542.9,546.6,550.4,554.3,552.08,556.0,555.0,552.0,552.0
宜昌市,392.1,394.93,396.34,398.39,399.12,399.67,399.1,399.31,397.49,397.51,397.27,396.89,398.52,398.78,400.23,401.46,400.83,401.37,398.55,398.8,399.0,400.1,400.4,398.18,394.0,392.0,392.0,391.0
宜春市,85.27,85.9,87.53,88.64,89.65,,,,510.2,514.65,519.49,522.27,525.45,528.17,534.66,539.09,543.97,549.92,557.93,566.9,573.1,578.1,595.6,596.99,602.0,602.0,605.0,604.0
宝鸡市,337.51,340.35,343.04,340.18,348.94,351.63,354.56,356.72,363.37,364.46,365.21,367.1,369.2,369.53,371.78,376.97,377.95,378.78,381.09,383.2,383.9,385.6,383.8,384.54,384.0,381.0,378.0,377.0
宣城市,,,,,,,,,274.67,275.12,275.47,274.83,273.02,273.56,274.21,275.2,276.75,277.77,278.36,279.4,279.6,280.2,279.8,279.95,280.0,280.0,279.0,279.0
宿州市,28.27,149.32,151.89,154.21,156.56,285.96500000000003,415.37,570.8,577.64,582.95,557.7,563.1,599.6,604.52,609.94,617.17,626.06,635.19,642.07,649.1,651.7,641.9,642.3,649.51,654.0,656.0,657.0,658.0
宿迁市,,,,,480.83,488.83,494.26,499.73,505.24,510.84,513.0,517.26,521.4,524.54,529.47,531.53,534.58,540.6,546.28,555.1,560.3,572.1,580.7,586.28,592.0,591.0,591.0,592.0
山南市,,,,,,,,,,,,,,,,,,,,,,,,,35.0,35.0,36.0,36.0
岳阳市,485.2,489.52,496.02,501.2,505.29,510.35,515.17,519.22,523.0,523.65,525.54,527.83,529.35,531.82,538.7,542.94,551.51,558.68,565.62,569.2,573.0,560.0,563.3,564.39,571.0,567.0,569.0,570.0
崇左市,,,,,,,,,,,226.51,227.89,229.67,230.65,233.2,236.89,240.0,241.96,243.35,246.6,245.4,246.5,248.2,248.8,251.0,250.0,252.0,252.0
巴中市,,115.18,116.2,117.8,118.02,,,,346.71,350.29,353.52,356.06,361.09,362.96,370.45,374.22,398.57,401.18,388.01,389.4,390.0,390.2,383.1,379.52,375.0,376.0,368.0,366.0
巴彦淖尔市,,,,,,,,,,,,176.13,177.91,175.87,179.41,182.3,185.0,173.3,186.34,186.8,186.7,183.2,178.6,174.7,175.0,174.0,174.0,174.0
常州市,328.57,329.33,331.44,333.65,337.54,339.23,340.75,339.71,341.48,341.52,343.24,346.22,348.97,351.63,354.67,357.38,358.74,359.82,360.8,362.9,364.8,365.9,368.6,370.85,375.0,379.0,382.0,385.0
常德市,574.15,577.82,582.14,585.85,589.83,593.32,595.03,596.56,600.0,596.04,598.19,600.2,601.05,602.42,607.75,611.99,614.16,616.69,623.11,625.7,629.0,607.2,608.7,609.18,611.0,606.0,605.0,
平凉市,39.71,39.86,40.58,41.4,42.3,,,,,,222.18,222.28,222.93,218.15,225.48,226.83,228.23,229.77,231.82,233.0,234.0,231.9,233.7,233.08,234.0,234.0,234.0,234.0
平顶山市,522.95,529.6,535.36,539.65,545.74,471.8,475.75,480.27,479.24,481.67,484.99,489.11,494.44,499.25,507.75,516.7,523.94,532.36,539.59,548.9,545.6,537.5,557.1,562.29,568.0,567.0,570.0,570.0
广元市,290.24,291.08,292.72,294.61,296.3,297.79,299.16,301.39,302.58,303.2,303.76,304.08,303.91,304.26,306.0,307.41,310.37,312.73,310.89,311.3,311.7,310.2,310.1,305.31,305.0,303.0,301.0,299.0
广安市,,,,,,,427.11,430.42,438.54,441.22,444.34,448.53,452.85,454.55,457.54,462.53,466.45,470.02,466.16,468.5,468.5,470.4,471.7,467.39,467.0,465.0,462.0,459.0
广州市,612.2,623.66,637.02,646.71,656.05,666.49,674.14,685.0,700.69,712.6,720.62,725.19,737.67,750.53,760.72,773.48,784.14,794.62,806.14,814.6,822.3,832.3,842.4,854.19,870.0,898.0,928.0,954.0
庆阳市,,,,,,,,,,,254.8,255.76,256.69,251.29,251.83,255.95,258.23,260.95,259.18,262.0,262.3,264.1,265.5,267.31,270.0,270.0,270.0,270.0
廊坊市,347.58,352.05,357.49,360.36,363.27,367.61,371.68,374.76,378.36,381.59,384.11,387.24,389.82,391.57,395.7,401.86,408.28,413.33,419.02,424.9,433.2,422.4,450.4,461.13,470.0,474.0,479.0,483.0
延安市,31.29,31.75,32.25,32.64,32.84,191.64,192.63,193.88,196.64,198.15,200.74,205.61,208.79,210.7,215.08,219.55,223.31,227.51,230.22,232.9,235.4,237.8,234.3,235.5,237.0,238.0,234.0,234.0
开封市,429.57,435.06,439.56,445.86,451.62,457.33,460.71,463.73,467.7,470.57,473.72,476.7,481.71,487.67,497.93,505.63,518.48,527.14,534.7,543.4,544.4,553.1,553.8,553.84,559.0,559.0,560.0,561.0
张家口市,103.56,430.94,432.8,434.47,439.16,440.09,442.31,443.69,449.79,448.94,450.54,450.41,449.82,450.29,453.61,457.18,459.67,462.31,465.97,467.4,468.4,466.9,468.6,469.01,470.0,465.0,465.0,465.0
张家界市,,,151.51,152.33,153.18,153.77,154.5,155.2,155.61,156.29,156.82,157.43,157.29,160.12,161.45,162.39,164.56,165.27,164.75,168.4,170.1,170.9,172.1,169.97,171.0,170.0,170.0,169.0
张掖市,43.66,43.84,44.27,44.92,45.44,,,,,,126.95,126.81,126.46,127.08,127.15,128.72,129.56,130.37,130.83,130.9,130.8,131.3,129.7,130.07,131.0,131.0,131.0,131.0
徐州市,826.74,833.94,843.21,851.15,859.43,867.16,875.78,877.53,896.45,901.86,904.44,908.66,916.85,925.31,934.73,940.95,946.86,957.61,972.89,976.7,990.5,1006.9,1023.5,1028.7,1041.0,1039.0,1045.0,1042.0
德州市,44.07,45.72,515.83,517.82,519.27,523.2,527.45,531.24,535.73,540.37,543.6,546.02,549.3,552.63,557.85,561.67,564.19,569.01,570.18,576.0,577.5,578.8,583.2,587.27,593.0,595.0,598.0,599.0
德阳市,361.61,363.4,365.17,368.12,370.3,372.07,373.90999999999997,375.75,379.3,379.25,380.07,380.59,380.97,382.41,383.8,385.31,387.37,388.4,389.15,390.5,391.5,392.0,392.5,389.99,392.0,388.0,387.0,384.0
忻州市,44.36,44.79,45.35,45.91,46.19,,,,290.48,293.83,292.4,294.93,296.82,297.89,299.83,299.81,303.26,306.91,307.55,310.1,310.0,311.4,312.5,306.52,308.0,308.0,308.0,307.0
怀化市,50.81,51.64,52.75,53.57,54.29,476.62,478.82,481.03,484.0,486.6,489.83,492.92,495.29,498.37,500.0,502.01,508.94,508.88,509.72,513.5,516.5,515.0,525.5,518.03,523.0,522.0,524.0,524.0
惠州市,239.33,245.72,251.16,255.9,260.08,266.53,270.0,273.905,277.81,280.45,283.02,286.36,293.22,297.58,306.41,312.89,318.84,324.36,337.28,343.0,341.9,343.4,348.5,357.07,364.0,369.0,381.0,
成都市,936.86,947.3,960.39,971.6,980.74,989.19,997.0,1003.56,1013.35,1019.9,1028.48,1044.31,1059.69,1082.03,1103.4,1112.28,1124.96,1139.63,1149.07,1163.3,1173.3,1188.0,1210.7,1228.05,1399.0,1435.0,1476.0,1500.0
扬州市,931.13,933.89,936.96,938.81,444.82,446.14,446.59,447.39,450.62,451.59,452.22,453.61,454.29,456.31,458.64,459.25,459.79,458.8,459.12,460.1,458.4,459.8,461.3,461.12,462.0,460.0,459.0,457.0
承德市,84.83,341.59,343.3,345.07,347.58,349.36,350.96,353.39,353.87,355.47,357.85,359.06,360.82,361.28,363.71,366.89,369.38,371.91,372.96,374.3,376.9,378.1,380.7,382.35,383.0,380.0,382.0,383.0
抚州市,,,,,,,,,360.49,364.2,369.9,376.11,378.77,381.31,383.78,385.1,387.74,399.14,403.96,412.0,417.8,419.6,427.5,399.28,401.0,431.0,432.0,433.0
抚顺市,223.25,224.22,225.09,225.71,226.81,227.16,227.13,226.91,227.01,226.19,226.11,225.47,224.88,224.39,223.9,223.72,223.19,222.61,220.91,220.1,219.3,218.0,217.4,215.76,215.0,211.0,209.0,207.0
拉萨市,36.66,37.26,37.5,38.33,38.88,,,,,,,,,,,62.23,47.72,51.53,50.465,49.4,50.4,60.1,52.7,53.03,54.0,54.0,55.0,56.0
揭阳市,456.49,464.71,471.78,479.28,491.94,508.46,520.02,568.87,575.97,579.25,584.7,590.54,601.77,609.28,623.95,634.78,641.24,649.11,661.79,669.3,673.9,682.7,694.2,701.68,697.0,703.0,705.0,707.0
