,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
七台河市,81.57,80.71,81.35,81.57,82.76,83.41,83.43,84.9,86.32,86.63,86.34,87.44,88.15,88.43,89.07,89.51,90.22,92.77,92.86,92.7,92.4,92.0,88.2,83.11,80.0,79.0,78.0,77.0
三亚市,38.02,38.69,39.48,40.38,42.1,44.06,44.6,46.22,47.51,48.6,49.57,50.39,50.75,51.19,52.42,53.52,54.58,55.71,57.01,58.1,57.3,57.7,58.6,57.78,58.0,59.0,61.0,63.0
三明市,250.51,253.05,255.64,258.29,261.64,263.62,264.96,266.07,266.72,267.1,267.49,267.66,267.94,268.13,268.64,269.5,270.15,271.06,272.73,273.4,274.2,278.5,284.0,284.12,287.0,288.0,289.0,289.0
三沙市,,,,,,,,,,,,,,,,,,,,,0.1,,,0.04,0.0,,,
三门峡市,198.0,201.51,205.89,208.48,209.95,212.62,214.6,215.38,217.07,217.89,219.51,220.9,223.29,222.48,225.02,226.57,227.69,229.56,230.3,225.6,226.1,226.8,227.8,228.27,229.0,228.0,227.0,227.0
上海市,1289.37,1294.74,1298.81,1301.37,1304.43,1305.46,1306.58,1313.12,1321.63,1327.14,1334.23,1341.77,1352.39,1360.26,1368.08,1378.86,1391.04,1400.7,1412.32,1419.4,1426.9,1432.3,1438.7,1442.97,1450.0,1455.0,1462.0,1469.0
上饶市,17.13,30.86,31.27,31.65,32.24,,,,642.72,648.2,622.13,657.38,668.82,676.0,690.52,704.16,716.35,728.27,740.33,750.2,760.3,759.7,773.1,774.4,782.0,783.0,789.0,793.0
东莞市,136.06,138.92,141.4,143.65,145.25,147.12,148.77,314.63,152.61,153.89,156.19,158.96,161.97,165.14,168.31,171.26,174.87,178.73,181.77,184.8,187.0,188.9,191.4,195.01,201.0,211.0,232.0,251.0
东营市,160.47,161.41,162.11,164.11,165.77,167.01,169.18,170.64,172.14,173.57,175.39,176.81,178.83,180.5,181.82,183.09,183.97,184.59,184.87,186.0,185.5,187.0,189.1,190.62,193.0,195.0,197.0,198.0
中卫市,,,,,,,,,,,,,102.26,102.84,104.19,106.04,114.17,116.65,118.12,119.2,120.0,121.5,122.2,120.17,121.0,122.0,122.0,122.0
中山市,119.25,121.67,123.56,125.25,126.84,128.36,130.08,131.91500000000002,133.75,134.83,136.03,137.86,139.45,140.82,142.26,145.15,146.43,147.86,149.18,150.7,152.0,154.1,156.1,158.68,161.0,170.0,177.0,183.0
