,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
七台河市,168223.0,203650.0,268435.0,395170.0,443583.0,492488.0,492488.0,529811.0,562078.0,614451.0,696552.0,796885.0,965164.0,1002149.0,1142269.0,1351595.0,1871613.0,2336262.0,3052237.0,3080590.0,2989081.0,2409883.0,2142590.0,2126515.0,2166414.0,2334836.0,2503258.0,2310000.0
三亚市,22550.0,35209.0,190585.0,213166.0,221084.0,239934.0,239934.0,256102.0,295398.0,318613.0,358800.0,411659.0,482348.0,742144.0,1092608.0,1223161.0,1443178.0,1733198.0,2308509.0,2837549.0,3309625.0,3734888.0,4022558.0,4358202.0,4755567.0,5355312.0,5955057.0,6780000.0
三明市,821626.0,1225146.0,1588925.0,1958191.0,2091770.0,2243997.0,2243997.0,2398875.0,2549813.0,2720804.0,2865663.0,3206821.0,3758431.0,3928434.0,4535752.0,5456879.0,6669222.0,8002444.0,9751020.0,12118142.0,13392862.0,14775868.0,16212064.0,17130478.0,18608197.0,21072679.5,23537162.0,26020000.0
三沙市,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三门峡市,323522.0,438439.0,727701.0,1137323.0,1309258.0,1448007.0,1448007.0,1520925.0,1686397.0,1811926.0,1971858.0,2245634.0,2746518.0,3351823.0,4121470.0,5184183.0,6542124.0,7027459.0,8744157.0,10304485.0,11273204.0,11920868.0,12400597.0,12510383.0,13258631.0,14269937.5,15281244.0,14440000.0
上海市,22122411.0,29897783.0,19720000.0,2902200.0,33602100.0,36882000.0,36882000.0,40349600.0,45511500.0,49508400.0,54087600.0,62508100.0,74502700.0,91541800.0,103663700.0,121888500.0,136981500.0,150464500.0,171659800.0,191956900.0,201817200.0,216021200.0,235677000.0,251234500.0,281786500.0,304292600.0,326798700.0,381560000.0
上饶市,75760.0,96393.0,90430.0,127914.0,151521.0,160510.5,169500.0,951905.0,1734310.0,1908609.0,2185000.0,2527563.0,3010663.0,3881089.0,4514277.0,5281238.0,6283382.0,7285029.0,9010029.0,11105823.0,12653897.0,14013134.0,15502360.0,16508064.0,18177664.0,20176211.0,22174758.0,25130000.0
东莞市,1118207.0,1543049.0,1545383.0,2451106.0,2947037.0,793666.0,824132.5,854599.0,4897332.0,5789340.0,6728910.0,9479654.0,11552982.0,21816245.0,26265085.0,31519126.0,37025344.0,37639142.0,42464527.0,47353949.0,50101727.0,54900207.0,58813173.0,62750737.0,68276868.0,75531394.0,82785920.0,94820000.0
东营市,1323547.0,1830141.0,1880000.0,2590700.0,3001800.0,3156700.0,3156700.0,3308400.0,4651100.0,5015200.0,5403000.0,6960800.0,8925300.0,11661400.0,14503100.0,16648004.0,20526200.0,20589700.0,23599400.0,26763500.0,30006600.0,32502000.0,34304900.0,34506400.0,34796000.0,38160350.0,41524700.0,29160000.0
中卫市,,,,,,,,,,,,,505381.0,658484.0,750050.0,896641.0,1191009.0,1429824.0,1731892.0,2215901.0,2505881.0,2868250.0,2975704.0,3168907.0,3391289.0,3710618.0,4029947.0,4380000.0
中山市,1148542.0,1776731.0,1300242.0,1811476.0,2209508.0,1416520.0,1477158.0,1537796.0,3128236.0,3625016.0,4156701.0,5014043.0,6101413.0,8802018.0,10363164.0,12380456.0,14085194.0,15664106.0,18506521.0,21931985.0,24410432.0,26389329.0,28230069.0,30100326.0,32027780.0,34177396.5,36327013.0,31010000.0
临汾市,120470.0,161775.0,208808.0,280665.0,321499.0,340266.0,359033.0,1035020.5,1711008.0,1924352.0,2239068.0,2953034.0,3759352.0,5231628.0,5887387.0,6580869.0,7546316.0,7668659.0,8901440.0,11360573.0,12210801.0,12239045.0,12132401.0,11611090.0,12051761.0,13226095.5,14400430.0,14530000.0
临沂市,418758.0,654300.0,2343477.0,3725500.0,4268200.0,4588200.0,4588200.0,5015900.0,5546000.0,6231500.0,7021300.0,8346000.0,10120000.0,12117800.0,14048600.0,16604600.0,19582000.0,20691100.0,23999900.0,27704500.0,30128100.0,33368100.0,35698000.0,37631700.0,40267500.0,43722750.0,47178000.0,46000000.0
临沧市,,,,,,,,,,,,731542.0,838988.0,965139.0,1141738.0,1357830.0,1568740.0,1813326.0,2169731.0,2724334.0,3529771.0,4160951.0,4651215.0,5021223.0,5508172.0,5904185.5,6300199.0,7590000.0
丹东市,832458.0,997435.0,1083024.0,1402102.0,1518644.0,1577914.0,1577914.0,1660695.0,1728908.0,1865795.0,2026475.0,2329453.0,2905058.0,3263156.0,3853331.0,4640241.0,5638618.0,6075211.0,7288908.0,8886676.0,10153733.0,11072964.0,10226035.0,9849006.0,7512352.0,7839870.5,8167389.0,7680000.0
