,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
七台河市,45.29,44.49,45.23,45.81,46.74,47.24,46.95,47.71,49.15,49.22,48.95,50.31,51.1,51.49,52.18,52.75,53.46,55.32,57.21,57.1,57.1,56.9,53.9,49.94,49.0,48.0,47.0,47.0
三亚市,38.02,38.69,39.48,40.38,42.1,44.06,44.6,46.22,47.51,48.6,49.57,50.39,50.75,51.19,52.42,53.52,54.58,55.71,57.01,58.1,57.3,57.7,58.6,57.78,58.0,59.0,61.0,63.0
三明市,24.66,25.1,25.41,25.62,26.1,26.43,26.99,27.36,27.61,27.73,27.95,28.25,28.31,28.42,28.25,28.31,28.38,28.36,28.3,28.2,28.2,28.3,28.3,28.25,28.0,28.0,28.0,29.0
三沙市,,,,,,,,,,,,,,,,,,,,,0.1,,,,0.0,,,
三门峡市,20.8,21.8,22.82,23.53,24.16,24.78,25.42,26.2,26.75,27.22,27.85,27.99,28.32,28.5,28.69,28.78,28.99,29.2,29.3,29.8,29.9,29.9,30.1,29.31,64.0,63.0,63.0,63.0
上海市,792.75,948.01,953.04,956.66,961.02,1018.59,1070.62,1127.22,1136.82,1262.41,1270.22,1278.23,1289.13,1290.14,1298.1,1309.15,1321.7,1331.68,1343.37,1350.6,1358.4,1364.1,1370.9,1375.74,1450.0,1455.0,1462.0,1469.0
上饶市,17.13,30.86,31.27,31.65,32.24,,,,34.3,35.11,35.77,36.12,36.73,37.22,37.72,38.45,39.01,39.48,39.87,40.4,40.9,41.3,42.0,138.56,140.0,141.0,142.0,229.0
东莞市,136.06,138.92,141.4,143.65,145.25,147.12,148.77,26.2,152.61,153.89,156.19,158.96,161.97,165.14,168.31,171.26,174.87,178.73,181.77,184.8,187.0,188.9,191.4,195.01,201.0,,,
东营市,63.66,64.99,66.2,68.09,69.94,70.62,72.19,73.52,74.71,75.77,77.46,78.8,80.22,81.43,82.13,82.76,83.14,83.28,83.35,83.8,83.6,84.2,85.2,85.78,110.0,111.0,113.0,113.0
中卫市,,,,,,,,,,,,,34.66,34.83,34.94,35.83,39.03,39.24,39.59,39.7,40.3,40.5,40.6,40.54,41.0,41.0,42.0,42.0
