,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
中山市,119.25,121.67,123.56,125.25,126.84,128.36,130.08,131.91500000000002,133.75,134.83,136.03,137.86,139.45,140.82,142.26,145.15,146.43,147.86,149.18,150.7,152.0,154.1,156.1,158.68,161.0,,,
临汾市,60.53,61.5,62.32,63.14,65.18,,,,72.53,73.91,75.58,76.8,78.17,78.21,78.25,80.9,82.23,83.3,83.58,84.1,80.6,80.6,80.6,80.93,81.0,82.0,82.0,82.0
临沂市,164.07,167.93,170.43,172.24,174.05,176.5,179.18,181.12,182.89,185.13,187.22,189.67,191.58,193.19,194.47,195.86,197.71,199.46,210.93,246.9,248.6,251.5,258.5,262.04,267.0,274.0,281.0,286.0
临沧市,,,,,,,,,,,,27.8,27.97,28.16,28.4,28.83,29.12,30.69,32.4,31.6,31.8,32.0,32.3,31.9,32.0,33.0,33.0,33.0
丹东市,65.94,66.6,67.28,68.11,68.99,69.71,70.02,70.24,76.27,76.18,76.01,75.67,75.22,75.19,75.11,76.48,76.88,78.93,78.83,78.8,78.6,78.5,78.4,78.0,78.0,78.0,78.0,77.0
丽水市,32.25,32.53,32.82,33.16,33.48,,,,35.32,35.81,36.58,36.84,37.28,37.38,37.75,38.0,38.27,38.46,38.68,38.989999999999995,39.3,39.6,40.0,40.14,41.0,41.0,41.0,42.0
丽江市,,,,,,,,,,,14.29,14.08,14.35,14.62,14.93,15.3,15.33,15.33,15.23,15.3,15.1,15.2,15.3,15.36,16.0,16.0,16.0,16.0
乌兰察布市,,,,,,,,,,,,25.79,26.12,29.07,29.44,29.89,30.18,30.37,30.45,30.3,32.2,31.4,31.6,31.6,32.0,31.0,31.0,32.0
乌海市,29.4,31.2,32.45,33.75,35.12,38.29,39.1,40.24,39.72,40.59,41.2,41.6,42.23,43.11,43.35,47.7,48.27,48.06,53.0,54.1,54.8,55.3,55.4,44.49,44.0,44.0,44.0,44.0
乌鲁木齐市,120.4,122.22,124.0,128.38,132.02,136.12,139.19,143.22,148.52,159.13,167.74,173.3,177.57,185.61,193.11,222.31,226.94,231.88,233.58,243.6,251.8,256.8,260.6,260.54,262.0,217.0,217.0,222.0
乐山市,108.83,109.66,110.47,111.14,111.31,111.53,111.93,112.01,112.25,112.45,112.65,113.12,113.46,113.81,114.61,115.15,115.3,115.01,115.18,115.5,115.8,116.1,116.3,116.07,117.0,116.0,116.0,116.0
九江市,44.11,44.56,45.66,46.43,47.75,48.9,49.65,50.3,51.31,52.48,54.08,62.2,57.57,59.17,59.81,60.3,60.44,63.8,64.23,64.3,65.0,65.4,66.2,66.95,66.0,100.0,100.0,102.0
云浮市,50.85,51.63,52.26,52.98,26.45,27.16,27.5,27.69,27.95,28.0,28.12,28.26,28.32,28.47,28.65,28.72,29.22,29.63,30.23,30.6,30.6,31.1,31.6,33.32,68.0,68.0,69.0,69.0
亳州市,,,,,,,,,,,,,,,147.15,151.51,155.53,159.52,161.65,163.8,165.7,167.0,167.1,163.0,167.0,167.0,168.0,170.0
伊春市,86.2,85.8,85.43,85.6,85.89,85.44,84.82,84.45,84.91,84.56,84.31,83.74,82.87,82.13,81.62,81.26,81.08,81.03,80.85,80.3,80.6,78.9,78.0,76.89,75.0,74.0,73.0,71.0
佛山市,39.05,41.38,42.8,44.13,45.18,46.18,46.84,47.44,48.86,49.4,338.98,344.24,350.89,354.48,358.06,361.08,364.34,367.63,370.89,374.8,377.7,381.6,385.6,388.97,400.0,420.0,437.0,461.0
佳木斯市,64.85,65.55,78.11,78.64,79.22,79.98,80.93,81.66,82.2,82.53,82.39,81.97,81.81,81.93,82.09,82.51,82.4,81.49,82.0,81.6,80.8,79.1,79.0,77.6,78.0,77.0,76.0,76.0
保定市,64.05,64.93,66.16,66.85,68.0,69.24,70.15,84.9,86.63,89.06,92.02,95.42,99.53,100.71,105.23,106.08,105.53,106.25,106.1,108.1,108.3,106.9,110.5,282.25,285.0,284.0,288.0,289.0
保山市,75.53,76.56,77.41,78.37,79.34,,,,82.96,83.53,84.05,84.62,85.38,85.84,86.34,87.25,88.14,89.05,90.0,90.5,91.1,91.7,92.6,92.4,93.0,94.0,94.0,94.0
信阳市,27.4,27.57,28.65,29.33,30.2,82.60499999999999,135.01,135.45,134.48,135.68,136.33,137.07,137.52,137.88,139.53,141.82,143.56,145.75,147.72,149.1,149.0,149.5,151.2,153.3,155.0,156.0,157.0,158.0
儋州市,,,,,,,,,,,,,,,,,,,,,,,,,,,,
克拉玛依市,21.51,22.01,22.69,23.39,23.98,25.36,26.31,26.86,27.63,28.43,29.0,30.6,30.58,29.74,32.32,35.34,38.62,39.35,37.51,37.8,37.6,37.9,39.0,29.97,30.0,31.0,31.0,31.0
六安市,20.31,165.1,166.62,168.01,169.22,,,173.47,174.8,175.32,175.56,176.28,177.9,179.2,180.5,182.76,184.13,185.15,186.52,187.4,187.1,188.6,189.1,190.32,220.0,220.0,220.0,222.0
六盘水市,186.67,188.52,190.99,193.59,195.85,199.31,202.77,97.81,41.57,42.13,42.88,42.47,43.12,44.3,45.17,48.63,50.16,52.95,49.59,49.7,49.9,47.1,47.6,46.64,47.0,48.0,49.0,50.0
兰州市,155.56,157.6,161.26,165.16,168.96,172.44,174.98,178.08,181.54,187.06,191.7,194.91,199.15,202.37,203.8,208.03,209.99,210.47,210.36,209.1,206.4,247.1,240.5,204.74,206.0,207.0,209.0,212.0
内江市,131.67,132.49,133.39,134.47,135.6,136.21,136.54,137.1,137.46,137.51,137.88,138.57,138.53,138.61,139.59,140.63,141.26,141.73,141.45,142.0,142.2,142.8,143.0,141.48,141.0,140.0,140.0,139.0
包头市,121.46,123.11,125.4,126.81,128.69,130.84,133.59,135.53,137.16,138.93,140.71,138.085,135.46,135.72,137.37,139.11,140.46,141.48,142.5,143.9,145.2,146.4,147.0,155.62,156.0,156.0,156.0,157.0
北京市,709.18,715.09,724.07,733.72,737.4,920.12,981.86,1052.7,974.14,988.1,1067.0,1079.22,1092.85,1110.6,1126.9,1142.48,1158.75,1174.63,1187.11,1207.1,1226.5,1245.2,1261.9,1345.2,1363.0,1359.0,1376.0,1397.0
北海市,21.91,23.4,24.37,47.93,48.69,49.24,49.7,50.5,51.37,52.39,52.9,53.93,54.96,55.79,56.92,58.14,59.31,60.42,61.72,62.6,62.6,63.6,63.7,64.87,66.0,67.0,69.0,70.0
十堰市,40.69,41.99,42.75,44.39,45.64,45.96,46.45,47.13,47.78,48.26,49.07,50.0,50.65,51.61,51.93,52.22,52.36,52.78,53.84,53.6,53.9,54.3,117.9,117.92,119.0,118.0,119.0,119.0
南京市,254.69,258.54,261.49,265.8,269.38,273.26,276.36,282.29,289.52,371.89,480.35,489.76,501.23,513.39,524.64,534.39,541.24,545.97,548.37,551.6,553.3,643.1,648.7,653.4,663.0,681.0,697.0,710.0
南充市,27.92,172.33,174.12,175.3,175.89,177.31,178.17,179.08,179.76,180.64,182.49,184.8,187.56,188.66,190.05,191.33,192.5,193.35,193.42,194.4,195.6,196.7,197.1,194.48,195.0,194.0,194.0,194.0
南宁市,111.57,115.17,118.2,121.96,125.59,128.03,130.81,131.36,135.64,137.85,140.39,145.77,150.06,249.67,254.86,259.77,263.89,267.14,270.74,272.8,274.6,279.7,284.4,290.46,370.0,375.0,387.0,398.0
南平市,46.07,46.49,46.92,47.44,47.89,48.29,48.68,49.0,49.46,49.37,49.29,49.02,48.83,48.78,48.75,48.84,49.15,49.27,49.73,49.7,49.7,50.0,50.3,85.79,86.0,86.0,86.0,86.0
南昌市,139.51,142.22,146.54,151.08,154.48,157.01,162.11,166.2,170.22,174.68,180.99,196.37,203.73,215.52,221.32,224.25,223.09,222.5,212.0,220.7,225.2,226.4,230.1,300.51,302.0,305.0,311.0,314.0
南通市,58.45,59.71,60.2,60.9,62.21,63.23,63.96,64.62,65.14,79.54,81.23,83.01,84.38,85.36,86.64,87.25,87.52,211.54,211.54,211.8,211.9,212.3,212.8,213.07,214.0,214.0,215.0,215.0
南阳市,38.47,39.77,154.44,155.89,157.54,159.63,143.53,144.62,164.91,166.4,167.57,168.45,168.38,172.58,176.42,179.66,182.22,185.32,188.51,191.0,194.2,186.0,186.9,188.19,189.0,190.0,203.0,204.0
厦门市,62.64,64.09,65.49,66.96,68.36,124.67,126.59,128.99,131.27,134.36,137.16,141.76,146.77,153.22,160.38,167.24,173.67,177.0,180.21,185.3,190.9,196.8,203.4,211.15,221.0,231.0,243.0,261.0
双鸭山市,49.14,49.23,49.43,49.7,50.23,50.7,50.28,50.02,50.4,50.44,50.67,50.42,50.34,49.95,49.83,49.95,50.09,50.18,50.26,46.4,49.8,49.5,50.1,49.05,48.0,44.0,47.0,46.0
台州市,,,136.73,137.7,138.78,139.67,140.83,142.03,143.16,143.9,145.0,146.05,147.37,148.75,150.2,151.56,152.75,153.77,154.89,155.9,156.9,157.8,158.5,159.29,160.0,161.0,163.0,163.0
合肥市,105.99,108.86,112.66,115.96,119.01,122.85,127.94,130.28,134.67,137.95,146.5,155.87,163.52,175.31,193.14,198.39,203.48,208.58,215.58,218.3,222.2,240.8,245.4,251.04,259.0,270.0,281.0,291.0
吉安市,29.48,30.02,31.74,31.01,31.36,,,,48.35,48.1,51.16,49.86,50.6,51.17,51.78,53.49,53.33,53.66,54.52,55.1,55.5,56.0,57.7,58.17,59.0,59.0,60.0,60.0
吉林市,133.8,135.23,136.77,138.48,139.36,140.81,140.93,142.39,179.34,179.25,178.9,179.55,178.9,179.87,180.46,182.3,184.93,185.07,183.47,183.0,182.3,181.8,181.9,181.88,182.0,180.0,180.0,180.0
吐鲁番市,,,,,,,,,,,,,,,,,,,,,,,,,29.0,29.0,29.0,29.0
吕梁市,,,,,,,,,,,,23.79,24.42,24.65,25.72,26.61,27.0,27.45,27.78,28.2,28.5,28.2,27.7,28.04,28.0,28.0,29.0,29.0
吴忠市,27.01,27.61,28.05,28.51,28.99,29.39,29.79,30.33,30.64,31.1,31.6,35.44,35.9,35.19,35.58,36.4,37.36,38.11,37.79,38.4,39.4,40.0,40.4,40.12,41.0,42.0,41.0,41.0
周口市,27.88,28.48,28.64,30.34,31.05,,,,34.62,35.2,36.22,36.67,42.16,42.55,49.54,50.81,51.88,52.73,53.61,61.5,58.6,53.3,59.7,59.95,64.0,64.0,64.0,64.0
呼伦贝尔市,,,,,,,,,,,,,25.82,25.65,26.0,26.3,26.6,26.92,27.15,27.3,27.6,36.9,36.7,37.01,37.0,37.0,37.0,37.0
呼和浩特市,90.3,91.28,92.82,93.9,96.37,98.68,101.77,104.93,106.28,108.38,109.58,109.7,109.8,109.62,111.51,114.42,116.7,118.79,120.56,122.5,122.0,124.6,127.8,130.1,132.0,135.0,138.0,141.0
咸宁市,47.92,49.2,50.63,44.4,44.72,,,54.25,54.74,55.33,55.56,56.17,56.01,56.57,57.57,59.42,59.52,59.78,59.83,60.8,61.7,62.4,60.9,61.49,62.0,62.0,63.0,63.0
咸阳市,77.31,78.59,80.58,82.3,83.67,86.01,75.33,76.5,78.62,79.89,82.33,83.4,84.85,85.62,87.41,87.97,89.06,89.7,90.19,90.7,91.0,92.2,92.0,92.36,94.0,58.0,55.0,55.0
哈密市,,,,,,,,,,,,,,,,,,,,,,,,,43.0,43.0,43.0,43.0
哈尔滨市,285.45,287.89,288.81,291.09,295.01,296.52,299.16,299.14,303.72,307.39,311.77,315.19,394.54,398.96,472.8,475.48,475.13,474.7,471.79,471.5,471.4,473.6,473.8,548.72,551.0,551.0,551.0,553.0
唐山市,154.22,155.51,156.68,157.87,160.33,162.84,163.64,164.55,168.35,168.82,292.75,294.91,296.91,298.95,301.17,303.6,305.53,307.0,307.53,307.7,325.0,302.9,329.5,334.28,336.0,334.0,335.0,335.0
商丘市,25.56,26.3,27.49,28.58,30.29,142.26,161.37,162.7,144.93,149.38,151.91,154.45,156.43,159.5,164.12,167.04,170.22,173.2,176.99,179.3,181.1,183.3,180.5,181.86,184.0,186.0,188.0,189.0
商洛市,,,,,,,,,,54.2,54.32,54.48,54.5,55.29,55.17,55.06,54.6,54.89,55.01,55.5,55.4,55.4,56.4,55.95,57.0,56.0,56.0,56.0
嘉兴市,74.74,75.42,76.05,76.72,77.31,77.76,78.06,78.36,78.8,79.11,79.45,79.82,80.41,80.83,81.4,81.98,82.55,83.12,83.75,84.3,84.8,85.5,86.4,87.13,88.0,90.0,92.0,94.0
嘉峪关市,10.93,11.4,11.97,12.44,12.91,13.09,14.29,14.55,15.96,16.1,15.97,16.37,16.76,17.22,17.61,18.14,18.59,20.87,21.8,19.5,19.8,20.0,24.1,20.25,21.0,,,
四平市,41.45,42.35,43.27,44.39,45.3,45.97,46.3,46.54,46.82,47.21,50.85,51.14,51.38,60.03,60.28,60.59,60.89,60.95,61.09,60.6,60.3,58.9,58.7,58.4,58.0,68.0,68.0,67.0
固原市,,,,,,,,,,,51.87,48.56,48.91,47.84,49.02,50.22,43.48,44.06,44.75,45.9,46.1,46.5,46.6,45.56,46.0,46.0,47.0,46.0
大同市,113.31,114.66,116.03,117.69,120.31,123.44,125.46,127.98,132.26,134.99,137.73,139.9,142.61,143.82,149.05,151.41,153.37,154.69,155.91,156.6,156.8,176.6,177.5,156.98,158.0,159.0,177.0,160.0
大庆市,96.93,98.66,100.4,102.75,104.73,106.01,107.75,108.87,110.7,112.93,114.91,118.0,121.2,122.33,125.39,128.19,130.74,132.53,133.4,134.9,134.9,136.4,135.5,135.87,137.0,137.0,137.0,137.0
大连市,244.94,248.67,252.35,254.74,257.23,259.71,262.4,264.17,267.78,270.68,273.23,274.78,278.09,281.11,287.71,293.43,298.31,302.01,304.26,297.1,299.2,301.2,304.3,304.9,398.0,400.0,400.0,405.0
天水市,106.45,107.88,109.37,110.93,113.34,115.38,116.59,118.16,119.23,120.03,120.05,121.45,122.1,122.77,123.6,124.41,125.23,126.06,129.77,131.0,132.4,133.1,130.1,130.59,132.0,132.0,132.0,132.0
天津市,584.95,589.97,592.16,594.02,593.12,593.75,597.09,601.01,682.05,747.99,752.21,758.78,764.37,769.6,777.91,786.35,793.85,802.9,807.02,816.3,812.5,821.7,832.8,1026.9,1044.0,1050.0,1082.0,1108.0
太原市,200.49,204.06,208.63,213.56,217.19,221.77,223.32,226.7,233.2,239.2,245.65,250.27,254.78,263.04,270.95,276.79,281.29,285.16,285.01,283.7,284.1,284.9,287.6,285.09,287.0,286.0,293.0,300.0
威海市,27.84,29.37,41.96,43.76,46.2,48.49,49.64,50.75,52.16,53.33,55.15,56.94,58.92,60.65,62.0,63.19,63.94,64.54,64.85,65.2,65.6,66.2,131.6,132.14,134.0,134.0,136.0,137.0
娄底市,32.95,34.45,36.09,36.79,37.37,,,38.9,39.65,39.87,40.56,41.23,41.4,41.88,42.83,43.68,44.55,44.87,46.77,47.0,47.3,47.6,48.5,49.01,49.0,61.0,62.0,62.0
孝感市,135.52,78.97,80.33,81.71,83.07,84.78,85.89,86.96,88.36,88.02,88.2,89.5,89.06,89.3,92.03,93.42,93.86,96.82,95.57,95.6,95.7,96.0,96.9,97.34,96.0,96.0,96.0,96.0
宁德市,37.11,37.98,38.52,39.19,39.69,,,,41.3,41.46,41.46,41.75,42.11,42.4,42.77,43.17,43.79,43.26,44.46,45.2,46.0,47.0,47.9,48.13,49.0,49.0,51.0,52.0
宁波市,110.44,111.84,113.15,114.23,116.2,117.87,119.69,121.99,124.05,126.13,203.41,206.91,210.45,213.41,215.81,218.19,220.12,221.83,223.35,224.7,226.1,227.6,229.6,232.13,236.0,290.0,296.0,301.0
安庆市,51.86,52.44,52.94,53.86,54.97,55.93,56.61,57.13,57.79,58.18,58.79,59.6,60.3,73.04,73.71,74.1,74.26,73.96,73.65,73.5,73.3,73.4,73.5,73.64,74.0,74.0,74.0,74.0
安康市,89.2,90.02,90.81,90.99,91.38,,,,93.12,93.52,93.93,94.57,94.78,94.96,96.23,97.92,98.88,99.89,100.86,101.3,101.9,102.5,102.6,100.84,101.0,101.0,101.0,102.0
安阳市,63.86,64.79,65.89,67.12,69.35,70.95,71.82,72.64,73.93,75.97,76.93,100.77,102.19,103.17,104.51,105.83,106.75,107.53,108.78,111.1,110.8,114.4,115.5,115.55,118.0,117.0,118.0,119.0
安顺市,68.4,69.15,71.68,72.83,74.04,,,,76.73,77.44,78.34,79.01,79.69,80.01,81.29,83.11,84.34,84.7,86.78,87.5,87.7,88.3,89.2,131.02,129.0,129.0,131.0,132.0
定西市,,,,,,,,,,,,47.61,47.71,45.96,46.0,46.5,46.57,46.73,46.65,47.0,46.6,46.6,45.9,46.07,47.0,47.0,47.0,47.0
宜宾市,69.55,70.32,71.05,71.84,72.63,73.31,74.04,74.39,75.21,75.56,76.06,76.95,77.77,78.3,78.54,79.11,79.62,80.03,80.89,124.2,125.2,126.5,127.1,127.07,128.0,128.0,230.0,230.0
宜昌市,47.98,53.64,54.91,56.64,58.18,59.43,59.58,60.05,62.73,121.88,122.35,120.97,121.47,122.23,122.97,123.97,124.42,124.79,124.41,124.6,125.3,127.4,128.0,128.28,127.0,126.0,127.0,128.0
宜春市,85.27,85.9,87.53,88.64,89.65,,,,93.31,94.11,95.54,95.8,96.72,100.1,100.96,102.14,103.23,104.22,105.05,107.7,108.1,109.8,113.5,113.31,115.0,115.0,116.0,117.0
宝鸡市,45.94,47.02,48.43,50.29,51.92,53.9,55.4,56.42,57.98,59.5,60.39,74.25,74.53,76.13,77.38,86.91,139.15,141.37,142.8,143.3,143.4,143.5,142.2,142.31,142.0,140.0,139.0,139.0
宣城市,,,,,,,,,83.06,83.46,83.81,83.39,83.64,84.01,84.23,84.62,85.14,85.76,86.14,86.6,86.6,86.8,86.6,86.75,87.0,87.0,86.0,86.0
宿州市,28.27,149.32,151.89,154.21,156.56,101.71000000000001,46.86,164.57,167.14,168.89,140.1,141.8,173.4,174.7,176.63,178.49,180.64,183.9,185.86,187.9,188.1,187.0,186.2,188.61,190.0,191.0,192.0,193.0
宿迁市,111.19,111.77,112.25,113.22,24.71,23.31,23.7,24.31,24.44,25.61,26.0,28.65,152.89,154.07,155.35,156.73,158.0,159.52,159.77,162.7,164.4,168.5,172.0,174.06,176.0,176.0,177.0,178.0
山南市,,,,,,,,,,,,,,,,,,,,,,,,,7.0,6.0,6.0,7.0
岳阳市,54.09,57.29,60.3,63.73,65.17,82.95,86.62,89.5,87.53,90.9,92.39,94.13,94.83,95.43,103.7,79.59,81.3,87.51,109.64,112.8,111.3,108.5,109.7,108.81,110.0,110.0,110.0,111.0
崇左市,,,,,,,,,,,33.88,34.0,33.61,33.99,34.33,34.53,35.01,35.8,36.32,36.6,36.1,36.6,37.2,36.81,37.0,37.0,38.0,38.0
巴中市,,115.18,116.2,117.8,118.02,,,,124.62,125.6,126.91,127.54,129.48,129.59,131.41,133.29,142.3,143.25,137.74,138.3,138.6,136.2,137.7,136.03,136.0,136.0,136.0,135.0
巴彦淖尔市,,,,,,,,,,,,52.14,54.56,53.26,54.03,55.05,55.77,53.6,56.43,56.5,56.2,59.6,53.3,52.03,52.0,52.0,52.0,52.0
常州市,69.09,69.39,71.09,80.66,82.79,84.76,85.61,87.28,88.26,89.47,214.63,213.41,217.14,220.77,222.48,224.72,225.87,226.67,227.75,229.0,230.5,231.7,233.9,291.25,295.0,300.0,303.0,306.0
常德市,124.42,126.24,127.54,128.87,130.28,131.45,132.34,133.16,134.2,134.7,135.77,136.8,137.37,137.98,139.32,140.54,140.22,140.56,141.18,142.7,140.1,139.2,140.1,140.77,141.0,140.0,141.0,
平凉市,39.71,39.86,40.58,41.4,42.3,,,,,,48.58,48.31,48.46,48.73,49.01,49.3,49.63,49.99,50.94,53.6,53.9,51.4,51.3,51.24,52.0,52.0,52.0,53.0
平顶山市,70.46,72.85,76.47,78.38,80.91,82.65,84.74,86.67,87.66,89.04,91.25,92.56,93.53,95.29,97.2,99.26,100.71,101.86,103.31,104.7,104.0,97.9,110.0,110.4,111.0,111.0,111.0,111.0
广元市,81.47,82.75,83.72,84.49,85.2,85.93,86.71,88.13,89.04,89.6,90.18,90.73,90.42,90.6,91.2,91.83,92.6,93.24,92.28,92.8,93.6,93.5,93.9,93.08,93.0,93.0,92.0,92.0
广安市,,,,,,,115.67,116.91,119.54,119.85,120.68,121.68,122.51,123.31,124.06,125.21,125.61,126.1,125.21,125.6,125.8,126.8,127.3,126.6,127.0,127.0,127.0,126.0
广州市,367.21,372.63,380.31,385.38,390.18,395.65,399.3,405.49,566.68,576.97,583.89,588.26,599.91,617.28,625.33,636.76,645.83,654.68,664.29,671.3,678.0,686.6,695.0,854.19,870.0,898.0,928.0,954.0
庆阳市,,,,,,,,,,,32.59,32.71,32.97,32.86,33.41,34.1,34.51,35.57,35.81,36.6,37.3,37.7,38.0,38.16,39.0,39.0,39.0,40.0
廊坊市,60.97,62.22,63.42,64.81,65.72,67.37,68.33,68.99,70.1,71.87,72.67,74.75,76.37,76.45,77.36,79.1,80.07,81.03,80.38,81.0,81.7,82.3,84.3,85.06,86.0,87.0,88.0,88.0
延安市,31.29,31.75,32.25,32.64,32.84,32.93,33.2,33.46,34.04,34.85,36.08,37.46,39.9,40.37,42.16,43.21,44.2,44.87,45.82,46.2,46.5,46.9,46.5,47.23,48.0,68.0,67.0,67.0
开封市,70.63,71.36,72.42,73.35,74.14,75.16,76.15,76.88,77.76,78.09,78.75,78.34,78.55,82.89,83.47,84.23,84.8,85.38,85.57,86.4,86.7,87.3,87.0,87.47,170.0,171.0,171.0,172.0
张家口市,74.65,77.58,79.93,80.29,82.02,82.75,83.71,83.77,85.14,84.38,85.26,85.55,86.06,86.54,87.74,88.5,89.09,89.65,89.9,89.9,90.0,85.3,90.7,91.24,157.0,173.0,156.0,156.0
张家界市,,,43.3,43.86,44.32,44.6,44.94,45.3,45.64,46.05,46.28,46.57,47.19,48.19,48.59,48.37,50.42,49.88,49.75,51.8,52.0,52.6,53.2,52.47,53.0,53.0,53.0,54.0
张掖市,43.66,43.84,44.27,44.92,45.44,,,,,,49.82,49.77,49.54,50.17,50.66,51.25,51.63,51.87,52.04,51.7,51.5,51.9,50.7,50.82,51.0,51.0,51.0,52.0
徐州市,93.65,95.17,96.23,145.14,147.34,149.34,151.86,152.41,160.61,162.55,164.55,167.33,167.41,179.88,181.6,182.93,184.4,186.22,312.72,315.7,320.9,326.4,331.5,332.67,338.0,338.0,342.0,343.0
德州市,44.07,45.72,46.83,48.1,49.32,50.48,51.6,52.45,53.21,54.23,55.58,56.83,57.74,58.36,59.2,59.39,59.45,63.44,65.24,60.5,60.8,60.9,121.0,122.02,124.0,124.0,125.0,126.0
德阳市,78.52,79.42,80.38,81.26,82.05,58.78,59.315,59.85,60.43,60.76,61.64,62.24,62.92,63.94,64.21,64.97,65.69,65.9,66.23,67.7,68.3,68.8,69.3,69.19,70.0,94.0,94.0,94.0
忻州市,44.36,44.79,45.35,45.91,46.19,,,,48.98,49.6,50.17,51.06,51.58,51.62,52.0,51.82,52.34,52.86,52.89,53.4,55.2,55.4,55.7,54.13,55.0,55.0,55.0,55.0
怀化市,50.81,51.64,52.75,53.57,54.29,21.41,30.15,30.69,31.39,31.97,32.65,32.44,32.92,38.75,33.32,33.82,35.24,34.78,36.38,36.4,36.8,37.1,37.4,38.11,39.0,39.0,40.0,40.0
惠州市,27.29,29.28,30.98,32.36,33.3,34.54,35.87,46.53,37.43,38.6,40.03,108.74,111.57,114.47,118.26,122.28,125.95,129.02,133.88,137.5,138.1,138.8,141.7,145.43,150.0,155.0,164.0,
成都市,288.28,293.35,301.48,307.86,317.12,321.92,325.98,330.29,335.86,341.52,439.79,452.57,464.54,482.07,497.15,502.71,510.15,520.86,535.15,544.8,554.2,564.9,581.6,698.14,774.0,812.0,851.0,876.0
扬州市,45.03,75.36,47.07,48.33,49.81,50.82,51.35,52.0,53.58,109.66,110.76,112.52,113.85,115.65,116.82,118.06,121.78,121.99,122.48,230.0,230.1,230.9,231.8,231.92,232.0,233.0,233.0,233.0
承德市,37.91,38.6,39.06,39.65,40.77,41.23,41.72,42.28,42.83,43.67,44.76,45.41,45.73,46.14,46.91,51.71,52.36,54.51,58.33,58.5,58.8,58.9,59.3,59.65,60.0,60.0,60.0,60.0
抚州市,,,,,,,,,97.03,98.9,100.97,103.65,104.39,105.16,105.79,106.2,106.88,111.11,114.56,116.7,118.8,119.1,119.9,118.25,112.0,121.0,171.0,172.0
抚顺市,136.53,137.55,138.71,139.26,140.4,140.9,141.13,139.2,139.3,139.04,138.98,141.51,141.08,140.63,140.27,140.07,139.6,139.05,138.35,144.8,144.1,143.2,142.6,141.23,140.0,138.0,136.0,135.0
拉萨市,12.58,12.98,13.2,13.48,13.6,,,,,,,,,,,,18.64,21.67,,,,30.0,20.8,20.89,26.0,30.0,31.0,31.0
揭阳市,51.26,53.19,54.85,56.13,58.98,61.35,62.47,64.0,64.96,64.66,68.07,65.83,66.03,66.61,67.54,68.3,68.91,69.48,70.12,70.6,71.1,205.1,208.2,209.31,209.0,210.0,212.0,212.0
攀枝花市,57.63,58.3,58.48,60.2,61.54,62.31,63.55,64.14,64.87,65.1,65.76,66.47,67.36,67.79,68.28,68.65,69.17,69.2,69.01,69.1,68.9,68.7,68.4,67.74,67.0,66.0,65.0,65.0
新乡市,63.49,64.57,66.92,68.28,69.74,71.44,72.13,72.4,75.37,77.25,78.64,79.86,92.44,87.78,99.0,100.17,100.68,101.4,101.33,102.8,103.1,103.9,114.4,105.24,107.0,108.0,109.0,110.0
