城市,值
北京市,16406
天津市,11760
石家庄市,2240
唐山市,4181
秦皇岛市,2132
邯郸市,2665
邢台市,135
保定市,2565
张家口市,4373
承德市,1253
沧州市,200
廊坊市,292
衡水市,1520
太原市,1500
大同市,2080
阳泉市,654
长治市,344
晋城市,143
朔州市,4094
晋中市,1311
运城市,1205
忻州市,1987
临汾市,1316
吕梁市,1339
呼和浩特市,2065
包头市,2965
乌海市,1754
赤峰市,7077
通辽市,3212
鄂尔多斯市,2530
呼伦贝尔市,1794
巴彦淖尔市,2333
乌兰察布市,542
沈阳市,5116
大连市,5244
鞍山市,792
抚顺市,1368
本溪市,1519
丹东市,941
锦州市,826
营口市,880
阜新市,490
辽阳市,1111
盘锦市,2067
铁岭市,652
朝阳市,1138
葫芦岛市,2347
长春市,6991
吉林市,3774
四平市,1650
辽源市,432
通化市,746
白山市,2729
松原市,1250
白城市,2578
哈尔滨市,10198
齐齐哈尔市,4365
鸡西市,2300
鹤岗市,4553
双鸭山市,1760
大庆市,5107
伊春市,19608
佳木斯市,1875
七台河市,3800
牡丹江市,2696
黑河市,14446
绥化市,2754
南京市,6587
无锡市,1644
徐州市,3063
常州市,2838
苏州市,4653
南通市,2140
连云港市,3012
淮安市,4476
盐城市,5131
扬州市,2306
镇江市,1088
泰州市,1567
宿迁市,2153
杭州市,8292
宁波市,3730
温州市,1332
嘉兴市,987
湖州市,1565
绍兴市,2965
金华市,2049
衢州市,2354
舟山市,1036
台州市,1680
丽水市,1493
合肥市,1337
芜湖市,1491
蚌埠市,969
淮南市,1544
马鞍山市,704
淮北市,760
铜陵市,1201
安庆市,810
黄山市,2358
滁州市,1406
阜阳市,1957
宿州市,2907
六安市,4150
亳州市,2263
池州市,2539
宣城市,2585
福州市,1756
厦门市,1701
莆田市,2290
三明市,1151
泉州市,855
漳州市,377
南平市,6036
龙岩市,4901
宁德市,1509
南昌市,3095
景德镇市,431
萍乡市,1070
九江市,1641
新余市,1789
赣州市,5324
吉安市,1382
宜春市,2538
抚州市,3394
上饶市,1770
济南市,6121
青岛市,5225
淄博市,2989
麥庄市,3069
东营市,5777
烟台市,2741
潍坊市,2646
济宁市,1677
泰安市,2233
威海市,2607
日照市,2043
莱芜市,2246
临沂市,2293
德州市,1751
聊城市,1443
滨州市,3258
荷泽市,2274
郑州市,1010
开封市,1816
洛阳市,879
平顶山市,443
安阳市,534
鹤壁市,679
新乡市,432
焦作市,578
濮阳市,263
许昌市,1099
深河市,1020
三门峡市,1927
南阳市,2135
商丘市,1797
信阳市,3604
周口市,333
驻马店市,1365
武汉市,8569
黄石市,237
十堰市,5025
宜昌市,4234
襄阳市,3671
鄂州市,1596
荆门市,2391
孝感市,1018
荆州市,1576
黄冈市,362
咸宁市,1503
随州市,1459
长沙市,2151
株洲市,863
湘潭市,652
衡阳市,698
邵阳市,436
岳阳市,1413
常徳市,2752
张家界市,2567
益阳市,1851
郴州市,2246
永州市,3181
怀化市,673
娄底市,429
广州市,7434
韶关市,2871
深圳市,1997
珠海市,1736
汕头市,2085
佛山市,3798
江门市,1786
湛江市,1705
茂名市,2716
肇庆市,2989
惠州市,2697
梅州市,3047
汕尾市,421
河源市,362
阳江市,2483
清远市,3650
潮州市,1414
揭阳市,1047
云浮市,1967
南宁市,9947
柳州市,3554
桂林市,2806
梧州市,1793
北海市,1227
防城港市,2836
钦州市,4839
贵港市,3533
玉林市,1265
百色市,3718
贺州市,5517
河池市,6204
来宾市,4363
崇左市,2918
海口市,2289
三亚市,1922
重庆市,43263
成都市,3677
自贡市,1434
攀枝花市,2018
泸州市,2133
德阳市,1096
绵阳市,2751
广元市,4581
遂宁市,1874
内江市,1566
乐山市,2506
南充市,2526
眉山市,1798
宜宾市,4775
广安市,1533
达州市,3135
雅安市,1681
巴中市,2560
资阳市,1633
贵阳市,2526
六盘水市,472
安顺市,2703
毕节市,3411
铜仁市,1848
昆明市,5952
曲靖市,5957
玉溪市,1755
保山市,5011
昭通市,2163
丽江市,1263
普洱市,3876
临沧市,2557
拉萨市,4328
日喀则市,3738
昌都市,10794
林芝市,10238
山南市,2185
西安市,6007
铜川市,2406
宝鸡市,3625
咸阳市,146
渭南市,1264
延安市,6491
汉中市,3358
榆林市,7053
安康市,3646
商洛市,2672
兰州市,1574
金昌市,3019
白银市,3361
天水市,5858
武威市,4907
张掖市,3661
平凉市,1936
酒泉市,3386
庆阳市,996
定西市,3646
陇南市,4642
西宁市,477
海东市,3269
银川市,2306
石嘴山市,2262
吴忠市,1107
固原市,4489
中卫市,6877
乌鲁木齐市,9577
克拉玛依市,7735
吐鲁番市,13651
哈密市,80791
英德市,5634
连州市,2668
普宁市,1620
罗定市,2328
荔浦市,1760
岑溪市,2828
东兴市,589
桂平市,4071
北流市,2472
靖西市,3326
合山市,366
凭祥市,645
五指山市,1144
琼海市,1710
文昌市,2485
万宁市,4444
东方市,2272
都江堰市,1208
彭州市,1421
邛峡市,1377
崇州市,1090
简阳市,2353
广汉市,549
什郝市,820
绵竹市,1246
江油市,2720
隆昌市,794
峨眉山市,1181
阊中市,1875
华签市,464
万源市,4053
马尔康市,6626
康定市,11486
西昌市,2657
清镇市,1387
盘州市,4056
赤水市,1852
仁怀市,1788
兴义市,2908
兴仁市,1778
凯里市,1570
都匀市,2285
福泉市,1692
安宁市,1301
宣威市,6053
腾冲市,5845
水富市,440
楚雄市,4433
个旧市,1587
开远市,1957
蒙自市,2228
弥勒市,4004
文山市,2959
景洪市,6959
大理市,1815
瑞函市,945
芒市,2901
泸水市,2938
香格里拉市,11419
兴平市,453
彬州市,1184
韩城市,1621
华阴市,817
神木市,7635
华亭市,1182
玉门市,13496
敦煌市,31200
临夏市,89
合作市,2091
玉树市,15411
格尔木市,119263
德令哈市,27700
茫崖市,49859
灵武市,3846
青铜峡市,2325
昌吉市,8215
阜康市,8529
