城市,值
北京市,10328
天津市,14742
石家庄市,5688
唐山市,3679
秦皇岛市,2375
邯郸市,4167
邢台市,1623
保定市,3488
张家口市,1993
承德市,1099
沧州市,1175
廊坊市,1147
衡水市,1005
太原市,6172
阳泉市,843
长治市,804
晋城市,616
朔州市,785
晋中市,1451
忻州市,772
临汾市,723
吕梁市,433
呼和浩特市,2956
包头市,3035
乌海市,1509
赤峰市,5396
通辽市,1226
鄂尔多斯市,2859
呼伦贝尔市,796
巴彦淖尔市,1108
乌兰察布市,1088
沈阳市,8295
大连市,5909
鞍山市,3211
抚顺市,1433
本溪市,1088
丹东市,840
锦州市,1223
营口市,1969
阜新市,943
辽阳市,1401
盘锦市,1329
朝阳市,574
葫芦岛市,598
长春市,7478
吉林市,1657
四平市,701
辽源市,441
通化市,426
白山市,425
松原市,678
白城市,351
哈尔滨市,6588
鹤岗市,485
双鸭山市,535
大庆市,3674
伊春市,978
佳木斯市,637
七台河市,487
牡丹江市,1068
黑河市,180
南京市,15904
无锡市,7145
徐州市,4644
常州市,4881
苏州市,11250
南通市,5074
连云港市,2524
淮安市,3752
盐城市,3420
扬州市,2794
镇江市,2496
泰州市,2796
宿迁市,2060
杭州市,8840
宁波市,3813
嘉兴市,1493
湖州市,2686
绍兴市,3226
金华市,2106
衢州市,1266
台州市,2857
丽水市,652
合肥市,8069
芜湖市,3655
蚌埠市,2129
淮南市,1981
马鞍山市,1539
淮北市,1400
铜陵市,727
安庆市,1393
黄山市,1036
滁州市,2161
阜阳市,2192
宿州市,1849
六安市,1608
亳州市,1355
池州市,793
宣城市,1220
福州市,4043
厦门市,5450
莆田市,1392
三明市,365
泉州市,3748
漳州市,1385
南平市,457
龙岩市,890
宁德市,487
南昌市,3708
萍乡市,1164
九江市,1686
新余市,1180
赣州市,3115
吉安市,1057
宜春市,1745
抚州市,1830
上饶市,1693
济南市,10113
青岛市,9862
淄博市,5210
麥庄市,2786
东营市,2815
烟台市,6240
潍坊市,4274
济宁市,5378
泰安市,3041
威海市,3342
日照市,1926
莱芜市,1875
临沂市,4477
德州市,2932
聊城市,2424
荷泽市,2356
郑州市,6118
开封市,1986
洛阳市,3017
平顶山市,1373
安阳市,1300
鹤壁市,902
新乡市,1192
焦作市,1373
濮阳市,925
许昌市,1791
深河市,1025
三门峡市,652
南阳市,2166
商丘市,1489
信阳市,933
周口市,905
驻马店市,1206
武汉市,12084
黄石市,1834
十堰市,1614
宜昌市,2532
襄阳市,2316
鄂州市,531
荆门市,1201
孝感市,1339
荆州市,1079
黄冈市,463
咸宁市,1262
随州市,685
长沙市,4808
株洲市,2256
湘潭市,2342
衡阳市,1344
邵阳市,1369
岳阳市,1425
常徳市,1449
张家界市,472
益阳市,1009
郴州市,533
永州市,1185
怀化市,803
广州市,18743
韶关市,829
深圳市,11849
珠海市,3630
汕头市,2730
江门市,2710
茂名市,652
肇庆市,1606
惠州市,3114
梅州市,374
汕尾市,518
河源市,536
阳江市,1088
清远市,1154
潮州市,530
揭阳市,1493
南宁市,5014
柳州市,2958
桂林市,1782
梧州市,712
北海市,1306
防城港市,857
钦州市,1421
贵港市,1334
玉林市,1233
百色市,693
贺州市,618
河池市,831
来宾市,733
崇左市,355
海口市,1842
三亚市,858
重庆市,20378
成都市,11899
自贡市,1728
泸州市,1703
德阳市,1038
绵阳市,2545
广元市,752
遂宁市,1434
内江市,641
乐山市,1106
南充市,2075
宜宾市,1664
广安市,910
达州市,449
雅安市,431
巴中市,425
资阳市,688
贵阳市,2924
六盘水市,662
安顺市,940
毕节市,442
铜仁市,466
曲靖市,1595
玉溪市,889
保山市,635
昭通市,503
丽江市,208
普洱市,447
临沧市,267
拉萨市,966
昌都市,400
林芝市,174
山南市,52
那曲冇,91
西安市,10601
铜川市,547
宝鸡市,1360
咸阳市,1065
渭南市,1659
延安市,599
汉中市,528
榆林市,1513
安康市,573
商洛市,210
兰州市,2752
金昌市,487
白银市,632
天水市,653
武威市,542
张掖市,358
平凉市,702
酒泉市,611
庆阳市,350
定西市,285
陇南市,73
西宁市,1230
海东市,306
银川市,2660
石嘴山市,1581
吴忠市,554
固原市,1058
中卫市,576
乌鲁木齐市,3368
克拉玛依市,1239
哈密市,588
