城市,值
北京市,838.7175424
天津市,920.0680272
石家庄市,1883.928571
唐山市,801.2437216
秦皇岛市,684.8030019
邯郸市,1369.606004
邢台市,6740.740741
保定市,1122.807018
张家口市,356.7345072
承德市,478.8507582
沧州市,2900
廊坊市,3013.69863
衡水市,651.3157895
太原市,1953.333333
大同市,850.9615385
阳泉市,1070.336391
长治市,2180.232558
晋城市,2797.202797
朔州市,166.0967269
晋中市,480.5491991
运城市,580.9128631
忻州市,276.7991948
临汾市,623.100304
吕梁市,216.579537
呼和浩特市,668.2808717
包头市,526.1382799
乌海市,250.8551881
赤峰市,179.4545711
通辽市,261.5193026
鄂尔多斯市,118.5770751
呼伦贝尔市,206.2430323
巴彦淖尔市,222.8889841
乌兰察布市,571.9557196
沈阳市,1174.745895
大连市,762.7765065
鞍山市,1868.686869
抚顺市,994.1520468
本溪市,585.9117841
丹东市,828.9054198
锦州市,1150.121065
营口市,1068.181818
阜新市,1510.204082
辽阳市,765.0765077
盘锦市,498.3067247
铁岭市,659.5092025
朝阳市,536.0281195
葫芦岛市,413.2935663
长春市,632.2414533
吉林市,476.9475358
四平市,412.1212121
辽源市,1041.666667
通化市,576.4075067
白山市,194.2103335
松原市,448
白城市,190.0698216
哈尔滨市,540.30202
齐齐哈尔市,302.4054983
鸡西市,339.1304348
鹤岗市,133.9775972
双鸭山市,267.0454545
大庆市,268.259252
伊春市,37.22970216
佳木斯市,405.3333333
七台河市,123.6842105
牡丹江市,322.7002967
黑河市,12.46019659
绥化市,305.0108932
南京市,1058.144831
无锡市,1599.756691
徐州市,1116.5524
常州市,1067.653277
苏州市,782.2909951
南通市,1004.672897
连云港市,743.6918991
淮安市,743.9678284
盐城市,475.5408302
扬州市,1010.407632
镇江市,946.6911765
泰州市,1046.585833
宿迁市,822.1086856
杭州市,765.7983599
宁波市,793.5656836
温州市,1291.291291
嘉兴市,932.1175279
湖州市,715.6549521
绍兴市,752.1079258
金华市,483.1625183
衢州市,361.0875106
舟山市,685.3281853
台州市,970.2380952
丽水市,274.6148694
合肥市,2101.720269
芜湖市,1006.036217
蚌埠市,1197.110423
淮南市,1178.756477
马鞍山市,1164.772727
淮北市,1381.578947
铜陵市,616.1532057
安庆市,913.5802469
黄山市,195.0805768
滁州市,398.2930299
阜阳市,1175.268268
宿州市,660.4747162
六安市,530.1204819
亳州市,742.3773752
池州市,263.8834187
宣城市,332.688588
福州市,1623.006834
厦门市,1428.571429
莆田市,1061.135371
三明市,243.2667246
泉州市,1356.725146
漳州市,1671.087533
南平市,142.4784626
龙岩市,216.2823913
宁德市,337.972167
南昌市,1004.846527
景德镇市,1113.689095
萍乡市,831.7757009
九江市,609.3845216
新余市,503.0743432
赣州市,428.2494365
吉安市,434.1534009
宜春市,457.0527975
抚州市,503.8302887
上饶市,802.259887
济南市,905.0808691
青岛市,991.3875598
淄博市,966.8785547
麥庄市,804.8224177
东营市,195.6032543
烟台市,700.4742795
潍坊市,733.1821618
济宁市,1127.012522
泰安市,770.2642185
威海市,521.6724204
日照市,680.372002
莱芜市,574.3544078
临沂市,1225.468818
德州市,713.8777841
聊城市,887.040887
滨州市,337.6304481
荷泽市,1037.818821
郑州市,3801.980198
开封市,941.6299559
洛阳市,2354.948805
平顶山市,2505.643341
安阳市,2209.737828
鹤壁市,957.2901325
新乡市,2523.148148
焦作市,1297.577855
濮阳市,2851.711027
许昌市,1219.290264
深河市,1313.72549
三门峡市,326.9330566
南阳市,950.8196721
商丘市,1046.188091
信阳市,435.627081
周口市,1921.921922
驻马店市,622.7106227
武汉市,1031.625627
黄石市,5696.202532
十堰市,236.8159204
宜昌市,299.9527633
襄阳市,621.0841732
鄂州市,695.4887218
荆门市,271.8527813
孝感市,943.0255403
荆州市,704.3147208
黄冈市,966.8508287
咸宁市,419.1616766
随州市,452.3646333
长沙市,1655.044166
株洲市,1529.548088
湘潭市,1334.355828
衡阳市,1446.991404
邵阳市,1605.504587
岳阳市,778.4854919
常徳市,512.3546512
张家界市,206.4666926
益阳市,734.7379795
郴州市,356.1887801
永州市,370.9525307
怀化市,594.3536404
娄底市,1445.221445
广州市,1248.318536
韶关市,320.4458377
深圳市,2278.417626
珠海市,731.5668203
汕头市,2695.443645
佛山市,1150.605582
江门市,811.8701008
湛江市,985.3372434
茂名市,1108.247423
肇庆市,481.7664771
惠州市,608.0830552
梅州市,318.345914
汕尾市,1235.154394
河源市,911.6022099
阳江市,495.3685058
清远市,402.739726
潮州市,1195.190948
揭阳市,2024.832856
云浮市,350.788002
南宁市,389.0620288
柳州市,514.9127743
桂林市,470.4205274
梧州市,446.1795873
北海市,562.3471883
防城港市,208.0394922
钦州市,314.1144865
贵港市,577.4129635
玉林市,885.3754941
百色市,99.51586875
贺州市,221.1346746
河池市,164.410058
来宾市,261.2881045
崇左市,130.2261823
海口市,777.6321538
三亚市,317.3777315
重庆市,569.7709359
成都市,2314.386728
自贡市,1032.078103
攀枝花市,322.1010902
泸州市,712.6113455
德阳市,857.6642336
绵阳市,632.4972737
广元市,200.8295132
遂宁市,784.4183565
内江市,893.9974457
乐山市,462.8890662
南充市,768.0126683
眉山市,667.4082314
宜宾市,481.6753927
广安市,828.4409654
达州市,564.5933014
雅安市,368.8280785
巴中市,531.25
资阳市,661.3594611
贵阳市,1025.3365
六盘水市,1038.135593
安顺市,484.6466889
毕节市,489.5924949
铜仁市,270.5627706
昆明市,537.6344086
曲靖市,236.6963237
玉溪市,421.6524217
保山市,187.5873079
昭通市,434.5815996
丽江市,126.682502
普洱市,61.91950464
临沧市,129.0574892
拉萨市,71.62661738
日喀则市,32.10272873
昌都市,11.11728738
林芝市,4.883766361
山南市,27.45995423
西安市,1418.345264
铜川市,295.0955943
宝鸡市,383.4482759
咸阳市,3767.123288
渭南市,751.5822785
延安市,103.2198429
汉中市,336.5098273
榆林市,138.9479654
安康市,277.0159078
商洛市,209.5808383
兰州市,1327.827192
金昌市,69.55945677
白银市,148.7652484
天水市,225.3328781
武威市,211.9421235
张掖市,139.3062005
平凉市,268.5950413
酒泉市,121.0868281
庆阳市,391.5662651
定西市,128.9083928
陇南市,122.7919
西宁市,2096.436059
海东市,128.4796574
银川市,520.3816132
石嘴山市,190.0972591
吴忠市,370.3703704
固原市,104.7003787
中卫市,61.07314236
乌鲁木齐市,226.5845254
克拉玛依市,40.07756949
吐鲁番市,21.24386492
哈密市,5.322375017
英德市,210.2511537
连州市,204.8287106
普宁市,1527.420988
罗定市,555.3359107
荔浦市,218.3778409
岑溪市,342.2634371
东兴市,261.139219
桂平市,499.6828789
北流市,621.5153722
靖西市,199.3015634
合山市,368.9398907
凭祥市,179.9751938
五指山市,92.58653846
琼海市,303.6789474
文昌市,241.7078471
万宁市,142.3753375
东方市,200.8340669
都江堰市,515.093543
彭州市,564.7051372
邛峡市,475.4255628
崇州市,608.0816514
简阳市,913.0616235
广汉市,1099.859745
什郝市,522.1939024
绵竹市,400.9109149
江油市,317.9790441
隆昌市,969.8035264
峨眉山市,363.2887384
阊中市,442.6624
华签市,768.7306034
万源市,141.5171478
马尔康市,8.174162391
康定市,9.364704858
西昌市,255.4527663
清镇市,388.0908435
盘州市,317.2152367
赤水市,171.8790497
仁怀市,405.4809843
兴义市,307.30674
兴仁市,319.8391451
凯里市,365.4210191
都匀市,220.7308534
福泉市,199.7092199
安宁市,215.010761
宣威市,255.8376012
腾冲市,117.3989735
水富市,244.2863636
楚雄市,120.9081886
个旧市,240.5759294
开远市,146.3392948
蒙自市,190.6059246
弥勒市,136.8131868
文山市,171.5299088
景洪市,61.76864492
大理市,350.2297521
瑞函市,147.3280423
芒市,138.041365
泸水市,63.26718856
香格里拉市,13.22252386
兴平市,1227.567329
彬州市,307.4653716
韩城市,244.9228871
华阴市,297.379437
神木市,59.14145383
华亭市,161.3417936
玉门市,10.99777712
敦煌市,4.619358974
临夏市,3078.741573
合作市,44.64897178
玉树市,7.397313607
格尔木市,1.154683347
德令哈市,2.660902527
茫崖市,1.032792475
灵武市,64.57618305
青铜峡市,121.9126882
昌吉市,47.22787584
阜康市,19.22394185
博乐市,32.57997497
阿拉山口市,1.559800664
库尔勒市,65.03990643
阿克苏市,36.66014768
阿图什市,17.67735744
喀什市,615.2030217
和田市,698.9641026
伊宁市,750.4888305
奎屯市,132.1093083
霍尔果斯市,33.95547407
塔城而,33.97084481
乌苏市,15.03272197
阿勒泰市,18.20210604
石河子市,980.9108696
阿拉尔市,38.20095142
图木舒克市,86.72041937
五家渠市,130.7945946
北屯市,58.23600439
铁门关市,68.26998224
